category,city,food_mean,food_num,food_q1,food_q2,food_q3,food_var,money,postcode,rate,rate_num,uuid
Breakfast and Brunch,taichung,5695.104895104895,143,4000.0,5500.0,7000.0,2172.4057326656766,$,408,4.8,500,7f00473e-2da0-4dea-ac1c-5df1fdb76059
Breakfast and Brunch,taichung,5142.857142857143,49,3500.0,5000.0,6000.0,2055.3563671340225,$,408,4.9,400,f680543f-f64b-448f-8fc1-3aa72b29b3ee
Breakfast and Brunch,taichung,4387.931034482759,58,3500.0,4000.0,5000.0,1702.035048284431,$,407,4.7,401,ab68fd5c-4d06-48bf-a9d4-5de96b064a30
Breakfast and Brunch,taichung,5695.104895104895,143,4000.0,5500.0,7000.0,2172.4057326656766,$,403,4.7,500,f2c54105-039d-4cb6-bd99-5f1c24ee5e64
Breakfast and Brunch,taichung,6350.0,10,5625.0,6250.0,6500.0,1050.0,$,403,4.7,500,8900f1b8-7d49-47d8-984a-73a7995d91aa
Breakfast and Brunch,taichung,7725.0,20,4250.0,5000.0,14000.0,4736.757857437933,$,407,4.8,421,507d24f3-95d9-4ac4-9f27-c1d40665e9e6
Breakfast and Brunch,taichung,3327.1604938271603,81,2500.0,3000.0,4000.0,1003.5753794025469,$,407,4.8,327,d14ea30f-e1a2-4d1f-8d47-38d29b742cd7
Breakfast and Brunch,taichung,5474.358974358975,78,4000.0,5000.0,6500.0,2295.3372970077503,$,407,4.7,111,275cbf5c-f5ac-4e3a-ba3f-e8e37c66923f
Breakfast and Brunch,taichung,10029.62962962963,54,5500.0,8000.0,11900.0,6880.639226054663,$,403,4.8,500,a3dbfdde-156e-431a-9014-0d55519729de
Breakfast and Brunch,taichung,5461.016949152542,118,4125.0,5000.0,6000.0,2251.7049622454674,$,407,4.8,401,6bccb4ac-92de-4072-8742-3376913aafe0
Breakfast and Brunch,taichung,6171.232876712329,146,4000.0,4500.0,7000.0,3884.6547228333498,$,403,4.8,310,602ddf76-df50-4efd-8fa1-a88ce2ed0868
Breakfast and Brunch,taichung,3965.1162790697676,86,2500.0,3500.0,4500.0,3696.376838292496,$,404,4.7,500,d16ba3d0-452c-4568-a7e2-07eda3706543
Breakfast and Brunch,taichung,5432.4324324324325,37,3500.0,6000.0,6500.0,2209.2011585521445,$,404,4.7,183,25600326-4728-4c52-ae54-20f6b989a4a1
Breakfast and Brunch,taichung,5486.111111111111,108,4000.0,5250.0,6625.0,2191.5856906601152,$,407,4.8,282,f7e51bc9-551e-4493-934a-25365111a01b
Breakfast and Brunch,taichung,6637.6543209876545,162,4500.0,5500.0,6500.0,4086.7901532925853,$,407,4.6,47,4060c4e0-91ec-48b0-b3cd-048e98a57202
Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.7,161,df344920-a74d-49d8-a53b-aa14dd2a41a1
Breakfast and Brunch,taichung,15200.0,56,11750.0,14500.0,17000.0,7904.248405581828,$,408,4.7,486,fe6cff78-01a5-4201-8f58-2793707394b8
Breakfast and Brunch,taichung,15200.0,56,11750.0,14500.0,17000.0,7904.248405581828,$,403,4.8,500,ea70511f-eaff-4204-a896-55dcb14808ff
Breakfast and Brunch,taichung,4906.779661016949,118,3000.0,4000.0,6000.0,2821.6394084735084,$,404,4.9,235,a6d51e6c-2662-45e7-a30c-13b5fc274495
Breakfast and Brunch,taichung,5295.918367346939,98,4000.0,4500.0,6875.0,1765.365104594453,$,403,4.7,239,080f65e3-772a-4875-8b95-4a9b5600f0c6
Breakfast and Brunch,taichung,5187.931034482759,58,4000.0,5000.0,6000.0,1988.1613049634839,$,403,4.8,337,91d1353d-ee55-4a26-9c1b-2b045c3d67b1
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,407,4.5,216,1b6b9f3e-3c37-4dd9-9066-4d40c2633be9
Breakfast and Brunch,taichung,6890.476190476191,63,5000.0,7000.0,8000.0,3309.7601834053366,$,407,4.7,227,166c9817-01f4-42bb-9bd4-fce0fcb0e578
Breakfast and Brunch,taichung,9102.857142857143,35,4250.0,8900.0,13450.0,6246.346850727377,$,407,4.4,347,e7409c5e-4380-4237-be5a-09ff241086bd
Breakfast and Brunch,taichung,4987.037037037037,108,3875.0,5000.0,6500.0,1745.7934942467232,$,408,4.7,265,5154b410-754f-40d4-8037-459b63542014
Breakfast and Brunch,taichung,4393.939393939394,99,2500.0,4000.0,6000.0,2061.2744014184686,$,407,4.7,466,71f9c3c3-7b54-45af-9166-cb68d1262e93
Breakfast and Brunch,taichung,6510.309278350515,97,4000.0,5500.0,7000.0,3638.9781202992967,$,407,4.7,498,7d06c2a1-d52f-4df2-89c5-7cf3f29b7e72
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,403,4.6,182,f3600d82-0cbc-4b88-8c47-003f724eaf94
Breakfast and Brunch,taichung,5738.805970149254,67,3500.0,4500.0,7000.0,3415.6774299743233,$,408,4.7,167,029054ec-3803-4842-bcc9-dd51207416ed
Breakfast and Brunch,taichung,5226.7441860465115,86,3625.0,5000.0,5500.0,2963.005404582056,$,403,4.7,276,1d3ead75-eb2c-4021-9aa4-94df045fb24b
Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.8,102,b339e57b-6d58-41c3-89c7-cd06fb31b9ff
Breakfast and Brunch,taichung,8379.338842975207,121,5000.0,7000.0,13000.0,4249.4514445279065,$,408,4.7,108,f2597092-bc4b-48f8-8ef2-b62951e9ca46
Breakfast and Brunch,taichung,5089.411764705882,85,4000.0,4500.0,6000.0,2143.2808017513034,$,407,4.8,165,23d505bf-2baa-4b57-8427-6ec33d06505a
Breakfast and Brunch,taichung,6268.539325842697,89,4500.0,6000.0,7500.0,2680.7510060277227,$,403,4.8,164,26f0af8b-7e97-4708-8fb5-0b12c0d43316
Breakfast and Brunch,taichung,4602.272727272727,88,3000.0,4000.0,5500.0,2307.5457876244777,$,403,4.5,110,1cb6f43e-1b35-4885-9097-62c2a624b657
Breakfast and Brunch,taichung,6007.692307692308,65,4000.0,5000.0,8500.0,2439.250054504943,$,407,4.7,120,7d0f7e2e-02c9-4d2f-a7eb-ac627c0e78d4
Breakfast and Brunch,taichung,16795.0,40,10000.0,13000.0,25250.0,9124.717803855634,$$,403,4.8,65,da75ca1a-a8a2-42f6-8036-b0392e5067b6
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,403,4.7,109,0711dc6a-0c9a-4c92-a86a-30464baaf51b
Breakfast and Brunch,taichung,15489.36170212766,47,10000.0,15000.0,22000.0,6153.609355753266,$,403,4.8,128,eed82686-d1aa-4a18-9ce7-de844432353e
Breakfast and Brunch,taichung,7283.333333333333,60,4000.0,6500.0,8625.0,3881.974011018392,$,403,4.8,116,650d57ca-edb7-4809-b493-b795d72e2f63
Breakfast and Brunch,taichung,4240.506329113924,79,3500.0,4000.0,5250.0,1527.9272786841932,$,404,4.5,27,5c34d028-6980-47f9-a4cc-b4c694e9bb2f
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,408,4.5,92,b7a15072-304c-4576-abb4-f0e9b35b4921
Breakfast and Brunch,taichung,4846.153846153846,26,4000.0,4500.0,6000.0,1207.1042174211705,$,407,4.8,131,d62c1e03-a744-41d7-bf41-de1c4d56b816
Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,403,4.8,121,5d121ea9-9e50-4c45-8712-e3012e33e0e4
Breakfast and Brunch,taichung,9777.083333333334,48,8500.0,9500.0,9500.0,3553.416172228571,$,403,4.6,46,54400995-18f1-496f-bcda-8c9ed4225eec
Breakfast and Brunch,taichung,18211.53846153846,26,9500.0,14500.0,29000.0,9413.75127235426,$$,403,4.9,56,3fd1a83c-ae5a-4590-ade4-01afd7d35f48
Breakfast and Brunch,taichung,7777.777777777777,99,6250.0,7500.0,8500.0,2351.8982471099166,$,408,4.6,68,86a07a85-9576-40ae-bc1d-aa5ef90aedbb
Breakfast and Brunch,taichung,5357.142857142857,14,4625.0,5250.0,6500.0,1273.753892866215,$,407,4.8,45,7c121c94-c7cb-454e-9d48-d3cfbdec2193
Breakfast and Brunch,taichung,16023.809523809523,21,10500.0,12000.0,18000.0,6580.0495556032865,$,407,4.8,81,45f9e48a-c22f-41e4-9ec8-b78c969beae2
Breakfast and Brunch,taichung,5643.75,160,3000.0,5000.0,6625.0,3246.5306001176086,$,408,4.9,21,4bc53bdd-6046-4883-b793-4ec802337a45
Breakfast and Brunch,taichung,9430.0,30,7500.0,8750.0,10750.0,2390.697248363609,$,403,4.6,65,8f0c5aa8-53ec-40b2-a202-c0a55556fed4
Breakfast and Brunch,taichung,16280.0,25,13000.0,14000.0,15000.0,6526.990117964022,$,403,4.5,30,0ad44292-22b4-46e0-b048-bdff2c032342
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,407,4.8,36,7fa73d10-4802-43da-9ae2-a6c8d2a192ba
Breakfast and Brunch,taichung,10555.29411764706,85,8000.0,10000.0,13000.0,4113.121210220457,$,407,4.8,47,bec8854d-b423-498a-a0a3-e334dd9d5f24
Breakfast and Brunch,taichung,20891.304347826088,138,13000.0,18000.0,28750.0,10602.628046247899,$,408,4.7,38,f678b6b0-f629-4cbe-a428-3a57ef595658
Breakfast and Brunch,taichung,11516.666666666666,54,9900.0,10700.0,13650.0,5242.799294694051,$,403,4.7,48,997da3d4-75c4-47b4-addf-67a48b946572
Breakfast and Brunch,taichung,7136.363636363636,11,5000.0,6000.0,10500.0,3529.685210603123,$,407,4.7,10,12a61a78-9ce0-4f74-8f90-97d7b8691e4e
Breakfast and Brunch,taichung,14001.415094339623,212,12000.0,14000.0,16000.0,5187.607500805518,$,407,4.6,79,d4ae83f5-1430-4928-bee2-a30eebce2478
Breakfast and Brunch,taichung,17438.144329896906,97,12000.0,13000.0,26500.0,8163.363508565774,$,403,4.8,20,5e8204cc-2c2c-4911-ac40-2d950b4e3262
Breakfast and Brunch,taichung,17145.945945945947,37,14900.0,17000.0,21000.0,5904.858036355369,$,403,4.3,34,4c312bf0-1617-4ec4-88d4-c27b03b75478
Breakfast and Brunch,taichung,15185.714285714286,42,12000.0,13000.0,16950.0,6305.31036313917,$$,403,4.6,11,1f5a4aae-8ea2-4df8-b64c-418503215ada
Breakfast and Brunch,taichung,8222.222222222223,9,7000.0,9000.0,10000.0,1930.9052441091962,$,403,5.0,13,e4a5323d-411d-4747-b92f-68c30733afa2
Breakfast and Brunch,taichung,21800.0,5,21000.0,23000.0,23000.0,2135.415650406262,$,403,0,0,4b242f38-ac01-4862-a4c4-cc26fc79992a
Breakfast and Brunch,taichung,6913.04347826087,23,5250.0,7500.0,8000.0,2310.901263637967,$,403,0,0,6342e33d-e3b7-4ed3-be00-1af9f700a87d
Breakfast and Brunch,taichung,4787.671232876713,73,3000.0,3500.0,5000.0,3725.0703847530494,$,404,0,0,147c7b08-0401-46b0-9e60-569fa4c3223d
Breakfast and Brunch,taichung,10054.838709677419,31,6500.0,10900.0,13900.0,4134.187809588865,$,403,0,0,e4af0cbb-38a9-4072-bfab-81afbdb0a7b8
Breakfast and Brunch,taichung,4975.0,100,4000.0,5000.0,6000.0,1592.7570436196477,$,408,0,0,f44cf6eb-3c09-4792-a879-de9191a2bfff
台灣美食,taichung,15476.0,50,13250.0,15000.0,16000.0,4497.5353250419275,$,408,4.6,21,b4877900-9c50-4cac-9d05-a2f6bc602984
美式美食,taichung,19644.444444444445,45,14000.0,15000.0,25000.0,14044.620252064182,$$,408,4.8,24,418ba564-a021-4e65-a7e3-421351fe9a1e
美式美食,taichung,17274.358974358973,39,8750.0,12000.0,27500.0,9666.217088096788,$,403,4.8,11,203a2f71-370b-497e-b975-7afdedaa640d
Breakfast and Brunch,taichung,18928.571428571428,7,18250.0,19500.0,20000.0,1293.6264483053453,$,403,0,0,bed2bb57-8610-407b-86b3-f74da5c98bfe
台灣美食,taichung,5142.857142857143,49,3500.0,5000.0,6000.0,2055.3563671340225,$,407,4.8,500,d45204d3-dea2-4907-945d-58061f1dd5d0
台灣美食,taichung,6153.086419753086,81,4000.0,5000.0,7000.0,2991.679260047902,$,407,4.7,500,cf603325-4b19-4aae-a562-0e581119ff94
Breakfast and Brunch,taichung,5798.449612403101,129,3500.0,4500.0,6500.0,3276.9570044023158,$,408,4.9,209,5a4a85b4-7c02-4ea9-adba-9eb37f794694
台灣美食,taichung,4461.864406779661,118,3500.0,4500.0,5375.0,1609.2381338524722,$,407,4.6,265,adf072e3-a724-42b4-82a2-a13c3e6b4968
台灣美食,taichung,6572.972972972973,74,3500.0,4700.0,6500.0,4869.466292340723,$,407,4.6,50,539ab8ac-a056-4b81-945d-07d44ac1283b
中式料理,taichung,14403.921568627451,51,12000.0,12500.0,16000.0,5012.023222029427,$,404,4.6,114,10765cbd-cd04-479b-b5e7-e88eff5842ea
義大利美食,taichung,13457.142857142857,35,8500.0,13000.0,17000.0,5452.877914553049,$,403,4.8,81,48ef77c4-acb4-4c4e-b3bd-9430daad0ba7
Desserts,taichung,20000.0,6,11625.0,20750.0,28375.0,8636.164272021077,$,408,4.9,40,3a8cc689-f117-45a5-bded-b0a106f0ae17
Breakfast and Brunch,taichung,5492.1875,64,3500.0,5000.0,6500.0,2273.3032606416045,$,407,4.7,500,289814ce-892b-4d11-a68e-72301585d3d6
Breakfast and Brunch,taichung,5423.076923076923,65,3500.0,5000.0,6500.0,2322.5164886899483,$,404,4.7,500,33fa87be-08d2-4fed-bd50-af3fa082c2a2
Vegetarian Friendly,taichung,13270.0,30,9925.0,13900.0,17750.0,4050.6090077090053,$,403,4.6,221,fdad8c18-a10d-4a30-83a9-70ff59f11524
Burgers,taichung,27111.11111111111,27,25000.0,27000.0,30000.0,8447.367914999206,$$,403,4.7,198,74027470-6c5f-440e-b044-6e1b3fbcaa91
美式美食,taichung,20926.973684210527,152,12000.0,17000.0,27000.0,11774.302808696846,$$$,403,4.8,475,a41654da-d1a9-4a0e-b327-747ac0a7312a
美式美食,taichung,20999.34640522876,153,12000.0,17000.0,27000.0,11769.632447057425,$$$,408,4.8,335,8551c9b0-d860-4adf-b0ff-2a5449bb89b6
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,408,4.8,500,d2d4cc62-33fd-40fa-9ad5-dd3c4f6c01bf
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811497,$,408,4.8,500,583dad8e-1be1-44aa-b353-166ba7299cba
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,407,4.8,500,7e418a3b-d5ae-4212-a672-e0c7eabfc17d
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.8377895168296,$,407,4.7,166,26356125-0ada-4bdf-ab48-91943fc5982d
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,403,4.6,219,2d3cdc67-16d1-44c9-877a-5e3c1cd61676
美式美食,taichung,23162.162162162163,37,20000.0,26000.0,29000.0,8251.170313432573,$,403,4.5,28,e896155c-d544-441d-8a2a-66025efbc92e
Breakfast and Brunch,taichung,8733.333333333334,39,5800.0,7800.0,12000.0,3479.2670413894857,$,403,4.6,15,a9135dbd-f822-4195-b29f-315d026783bd
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,407,4.8,500,e3aa9bd5-8552-4085-a6b6-e6e712c75aeb
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,403,4.8,500,022684b0-a17b-4b6b-893e-354d41f7c321
美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,407,4.8,500,ccc199c7-abba-4c3b-8a57-14725de30e8b
Breakfast and Brunch,taichung,5436.065573770492,61,3500.0,4500.0,5500.0,3256.822991152587,$,408,4.8,500,7aa55ffa-cbb9-472d-8aa6-e116a31dac2d
Breakfast and Brunch,taichung,4672.131147540984,61,3000.0,4000.0,5500.0,2823.910272778149,$,403,4.8,500,8e166bc7-5556-4de7-a6c3-40975e24b4f7
Breakfast and Brunch,taichung,5005.61797752809,89,3500.0,4500.0,6500.0,2096.6725672023354,$,407,4.8,500,7fa59fc4-f0b5-42bd-b76c-5646ed5bbad6
Breakfast and Brunch,taichung,5485.0,60,3500.0,4750.0,5600.0,3265.3649617360284,$,403,4.8,500,71196275-1ac2-4df9-ab02-f847c8b8c54b
Breakfast and Brunch,taichung,5798.449612403101,129,3500.0,4500.0,6500.0,3276.9570044023158,$,408,4.9,209,5a4a85b4-7c02-4ea9-adba-9eb37f794694
Breakfast and Brunch,taichung,5486.111111111111,108,4000.0,5250.0,6625.0,2191.5856906601152,$,407,4.8,282,f7e51bc9-551e-4493-934a-25365111a01b
台灣美食,taichung,4461.864406779661,118,3500.0,4500.0,5375.0,1609.2381338524722,$,407,4.6,265,adf072e3-a724-42b4-82a2-a13c3e6b4968
美式美食,taichung,19100.0,100,9875.0,18000.0,28125.0,9269.304181005175,$$,403,4.6,271,50c09109-74bc-4560-8f3a-b722f09107e5
Breakfast and Brunch,taichung,5295.918367346939,98,4000.0,4500.0,6875.0,1765.365104594453,$,403,4.7,239,080f65e3-772a-4875-8b95-4a9b5600f0c6
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,407,4.5,216,1b6b9f3e-3c37-4dd9-9066-4d40c2633be9
Breakfast and Brunch,taichung,4987.037037037037,108,3875.0,5000.0,6500.0,1745.7934942467232,$,408,4.7,265,5154b410-754f-40d4-8037-459b63542014
Breakfast and Brunch,taichung,5226.7441860465115,86,3625.0,5000.0,5500.0,2963.005404582056,$,403,4.7,276,1d3ead75-eb2c-4021-9aa4-94df045fb24b
Breakfast and Brunch,taichung,5089.411764705882,85,4000.0,4500.0,6000.0,2143.2808017513034,$,407,4.8,165,23d505bf-2baa-4b57-8427-6ec33d06505a
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,403,4.7,109,0711dc6a-0c9a-4c92-a86a-30464baaf51b
美式美食,taichung,37095.16129032258,62,18000.0,32500.0,53500.0,25370.43254567471,$$,407,4.7,152,7f3e0c28-79d8-4a29-a55e-b4bd225c7720
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,408,4.5,92,b7a15072-304c-4576-abb4-f0e9b35b4921
Breakfast and Brunch,taichung,5643.75,160,3000.0,5000.0,6625.0,3246.5306001176086,$,408,4.9,21,4bc53bdd-6046-4883-b793-4ec802337a45
美式美食,taichung,18500.0,11,10000.0,13000.0,23900.0,11759.328985185259,$,404,4.9,47,87cbec6a-9544-4997-b43e-a55eaa45752e
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,407,4.8,36,7fa73d10-4802-43da-9ae2-a6c8d2a192ba
Breakfast and Brunch,taichung,8222.222222222223,9,7000.0,9000.0,10000.0,1930.9052441091962,$,403,5.0,13,e4a5323d-411d-4747-b92f-68c30733afa2
Breakfast and Brunch,taichung,4787.671232876713,73,3000.0,3500.0,5000.0,3725.0703847530494,$,404,0,0,147c7b08-0401-46b0-9e60-569fa4c3223d
Breakfast and Brunch,taichung,5434.065934065934,91,3750.0,4500.0,6000.0,2867.215970976746,$,404,4.7,489,a268adca-7e07-4a5b-88d2-7d64d1d390bf
Breakfast and Brunch,taichung,5451.923076923077,104,3500.0,4500.0,6500.0,2841.586121586064,$,407,4.6,136,59d35bb0-a388-4e38-9c41-e7f3a0532080
Breakfast and Brunch,taichung,4210.31746031746,126,3500.0,4000.0,5000.0,988.7325031124496,$,404,4.7,500,38c21f74-4db3-4b7f-93ca-1fdf48e9be80
Breakfast and Brunch,taichung,3744.755244755245,143,3000.0,3500.0,4500.0,1412.812417169688,$,407,4.8,500,9162e978-5542-4341-b116-bf11715dffa3
Breakfast and Brunch,taichung,5672.588832487309,197,4500.0,5500.0,7000.0,1642.7536305970393,$,408,4.8,500,8fc53ead-eeff-4ef6-b61d-701741c47121
Breakfast and Brunch,taichung,5670.833333333333,120,3500.0,5000.0,6500.0,3020.413763966049,$,407,4.8,500,6ee90621-81bc-4b60-b599-612835d3fd6d
Breakfast and Brunch,taichung,3327.1604938271603,81,2500.0,3000.0,4000.0,1003.5753794025469,$,407,4.8,327,d14ea30f-e1a2-4d1f-8d47-38d29b742cd7
Breakfast and Brunch,taichung,10029.62962962963,54,5500.0,8000.0,11900.0,6880.639226054663,$,403,4.8,500,a3dbfdde-156e-431a-9014-0d55519729de
Breakfast and Brunch,taichung,5461.016949152542,118,4125.0,5000.0,6000.0,2251.7049622454674,$,407,4.8,401,6bccb4ac-92de-4072-8742-3376913aafe0
Breakfast and Brunch,taichung,3965.1162790697676,86,2500.0,3500.0,4500.0,3696.376838292496,$,404,4.7,500,d16ba3d0-452c-4568-a7e2-07eda3706543
Breakfast and Brunch,taichung,5738.805970149254,67,3500.0,4500.0,7000.0,3415.6774299743233,$,408,4.7,167,029054ec-3803-4842-bcc9-dd51207416ed
日式料理,taichung,23833.333333333332,12,22000.0,23500.0,26000.0,2192.157739660984,$$,403,4.7,216,3a648179-32c6-4d89-bb8c-0efac63cf5b7
Breakfast and Brunch,taichung,6007.692307692308,65,4000.0,5000.0,8500.0,2439.250054504943,$,407,4.7,120,7d0f7e2e-02c9-4d2f-a7eb-ac627c0e78d4
Breakfast and Brunch,taichung,7283.333333333333,60,4000.0,6500.0,8625.0,3881.974011018392,$,403,4.8,116,650d57ca-edb7-4809-b493-b795d72e2f63
Breakfast and Brunch,taichung,4240.506329113924,79,3500.0,4000.0,5250.0,1527.9272786841932,$,404,4.5,27,5c34d028-6980-47f9-a4cc-b4c694e9bb2f
Breakfast and Brunch,taichung,9430.0,30,7500.0,8750.0,10750.0,2390.697248363609,$,403,4.6,65,8f0c5aa8-53ec-40b2-a202-c0a55556fed4
Breakfast and Brunch,taichung,11516.666666666666,54,9900.0,10700.0,13650.0,5242.799294694051,$,403,4.7,48,997da3d4-75c4-47b4-addf-67a48b946572
Breakfast and Brunch,taichung,14001.415094339623,212,12000.0,14000.0,16000.0,5187.607500805518,$,407,4.6,79,d4ae83f5-1430-4928-bee2-a30eebce2478
Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,407,4.8,291,13be5f91-f62e-49ed-93b9-f0989cb1f5c9
Breakfast and Brunch,taichung,6705.357142857143,112,4500.0,5500.0,8000.0,3115.022336703746,$,403,4.8,87,61105a35-4bf7-42bb-958d-adfddd8f0e8d
Breakfast and Brunch,taichung,5394.2307692307695,52,4000.0,5000.0,6500.0,1971.7635079696922,$,403,4.8,500,e97639f3-92af-4afa-b1f8-f72619f67666
