"","category","city","food_mean","food_num","food_q1","food_q2","food_q3","food_var","money","postcode","rate","rate_num","uuid","class"
"2609","Breakfast and Brunch","taipei",8379.33884297521,121,5000,7000,13000,4249.45144452791,"$",100,4.7,403,"a5ed2f86-c2f6-490e-a6bf-b6cc08381704","cp"
"2610","Breakfast and Brunch","taipei",5653.84615384615,13,4000,6500,7000,2060.4761901506,"$",100,4.4,500,"1d8b6e86-d1f9-411a-b023-4a00e7bb6c11","low"
"2611","Breakfast and Brunch","taipei",8463.63636363636,55,5500,7000,9000,4751.89392429677,"$",105,4.7,190,"60d6be4f-44fc-4370-af1e-fb5deb0077da","cp"
"2612","Breakfast and Brunch","taipei",18965.5172413793,29,7500,15000,25000,12615.6245724558,"$",110,4.8,107,"b8e1244d-87e8-465a-8016-9aa5f193624f","high"
"2613","Breakfast and Brunch","taipei",5764.36781609195,87,4000,6000,7500,2450.4738932486,"$",110,4.7,145,"3a6b1e58-5903-463f-b5c0-dc1ab040c637","cp"
"2614","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.7,39,"ed9cc8b2-ea4d-49e6-acdb-e07b8a1b4a7b","cp"
"2615","Breakfast and Brunch","taipei",19961.9047619048,42,10000,21900,27800,8405.55237076044,"$$",106,4.7,100,"83fcd6a7-8806-433a-bfd0-ba6a04de89e1","high"
"2616","Breakfast and Brunch","taipei",25750,30,21750,27000,31875,9960.54717372495,"$$",106,4.8,266,"54914f23-ab48-43be-b7e7-3fd46b4c89e2","high"
"2617","Breakfast and Brunch","taipei",25750,30,21750,27000,31875,9960.54717372495,"$$",110,4.7,113,"431c8597-8472-4dd3-9402-de3b9773d8a7","high"
"2618","Breakfast and Brunch","taipei",6743.24324324324,37,3500,5500,7500,4681.2183988348,"$",110,4.6,90,"7e66a146-049a-4c1a-a4c5-f045de9d5115","low"
"2619","Breakfast and Brunch","taipei",16225,50,9625,15750,20350,6487.45134856517,"$$",106,4.7,109,"fa19575d-5cb2-4e52-9f1f-3bce5af5684c","high"
"2620","Breakfast and Brunch","taipei",11111.1111111111,54,6000,7000,16000,7295.14467316921,"$",105,4.7,79,"89ddea01-cddc-4bed-a638-6502155f7273","cp"
"2621","Breakfast and Brunch","taipei",20824.8175182482,137,13000,18000,28000,10612.551314583,"$",106,4.7,26,"e400aef1-bb72-4e20-8c9e-0fcde3a83821","high"
"2622","Breakfast and Brunch","taipei",20891.3043478261,138,13000,18000,28750,10602.6280462479,"$",100,4.8,32,"df5ef8c9-e4f2-4c21-a617-6aa014f2d121","high"
"2623","Breakfast and Brunch","taipei",24250,28,16000,22000,32000,8906.7590706641,"$$",106,4.7,72,"67ddbe70-8b2b-4aee-8c19-5177729e2aab","high"
"2624","Breakfast and Brunch","taipei",6662.28070175439,114,5000,6000,8000,1989.55122996246,"$",104,4.7,44,"dc452586-350a-4b58-b186-f2eb12d93cae","cp"
"2627","Breakfast and Brunch","taipei",17608.8888888889,45,15000,16000,21000,4366.98839640329,"$",105,4.5,13,"c9b1dff8-0b0e-4b64-808b-585aa2e12cc2","bad"
"2636","Breakfast and Brunch","taipei",8432.69230769231,52,7500,8000,9000,2272.38616993799,"$",106,4.8,500,"983c20be-f550-4171-bb22-41246fd6a25a","cp"
"2637","健康美食","taipei",16666.6666666667,6,15000,15000,18750,2357.02260395516,"$",105,4.5,500,"06878112-5c8c-496d-a6c9-7abe5f18694f","bad"
"2638","Breakfast and Brunch","taipei",27354.4303797468,79,18000,28000,35000,10927.8855641602,"$$",110,4.7,267,"66fa6466-09f5-401b-b296-26c5e5b4a18d","high"
"2639","台灣美食","taipei",5479.16666666667,72,5000,5000,6000,1673.81280481288,"$",110,4.8,500,"7a83be1b-d4d7-4106-ba60-836da3f6dd6b","cp"
"2640","台灣美食","taipei",7528.22580645161,124,4500,7250,9000,3634.12501080697,"$",104,4.8,443,"fa581297-07b4-40a7-ac9c-1e81c875a413","cp"
"2641","台灣美食","taipei",4819.27710843373,83,3500,5000,5500,1930.38218522712,"$",105,4.8,500,"6e60cbb0-9f56-49f3-958d-4dd24f208981","cp"
"2642","Breakfast and Brunch","taipei",4833.33333333333,60,4000,4500,6500,1537.49435409984,"$",106,4.8,350,"42c124a5-0be3-4a2b-a280-26609dc139cf","cp"
"2643","美式美食","taipei",7688.75,80,4875,6250,10000,3670.5583277616,"$",105,4.7,336,"78c533de-16a7-45f0-971c-3322025cf810","cp"
"2644","Breakfast and Brunch","taipei",17372.7272727273,110,12500,16000,21000,6952.25155276278,"$",106,4.7,500,"ca109dae-d2b2-40cd-a62d-13ca022e734a","high"
"2645","台灣美食","taipei",8060.81081081081,74,5625,8000,11000,3453.31088947152,"$",105,4.8,473,"59cf9335-184e-4aa4-9053-5602216b915f","cp"
"2646","泰國美食","taipei",7514.10256410256,78,6000,7000,8000,4721.32978765936,"$",110,4.8,371,"4c8a77af-6d63-412d-9392-4a606a5341fb","cp"
"2647","美式美食","taipei",9488.63636363636,44,4500,6000,11000,7736.81329480541,"$",106,4.7,235,"2a66614d-9a57-47ea-a93a-813baa6405d7","cp"
"2648","美式美食","taipei",8750,20,6000,8000,12750,3713.15229959666,"$",105,4.6,295,"9562cc4e-36c6-41ad-9a24-6bf504ab1564","low"
"2649","Breakfast and Brunch","taipei",26493.1506849315,73,18000,28000,33000,11146.7463004629,"$$",106,4.8,119,"afab1e45-20a8-4c1d-ad11-8570507a6d57","high"
"2650","Breakfast and Brunch","taipei",16007.6923076923,26,9250,17000,22000,9243.78889504161,"$$",106,4.8,152,"0d2ecc37-d1d2-4312-8966-a3d04ac4ed42","high"
"2651","台灣美食","taipei",7833.33333333333,18,7125,8000,8500,1374.36854187255,"$",110,4.7,119,"91da9a8e-bef4-4d43-b3fb-4a7553bc5e9d","cp"
"2653","咖啡館","taipei",17506.1728395062,81,15000,18000,20000,3322.66238923586,"$$",105,4.8,15,"94df87da-4009-42b5-8c3d-e89fa3711d9f","high"
"2654","Breakfast and Brunch","taipei",28774.5901639344,122,16000,28000,38000,13255.8527839123,"$$",106,4.7,23,"63b950f0-38a0-430d-9c13-6065480d0e31","high"
"2656","Burgers","taipei",11075,52,4875,9000,13925,9714.18223724784,"$",105,4.7,500,"cd30fb46-f12b-4f54-8633-d659634bb1b1","cp"
"2657","Burgers","taipei",11516.2790697674,43,4650,9900,14250,10473.8862477794,"$",110,4.7,500,"4b21953a-1e56-43e0-8acf-f90529dee892","cp"
"2658","Burgers","taipei",11075,52,4875,9000,13925,9714.18223724784,"$",104,4.7,500,"b4fa58a9-693e-4e49-8b58-970b6f115000","cp"
"2659","Burgers","taipei",11075,52,4875,9000,13925,9714.18223724784,"$",105,4.7,500,"3f6290f2-b68b-4e4b-948e-dbece8c36494","cp"
"2660","Burgers","taipei",13041.3793103448,29,4000,5500,21800,13682.6725873269,"$",106,4.7,500,"8c71dbc0-7f15-416f-9486-1e7a94c8f08e","high"
"2661","美式美食","taipei",6251.31578947368,76,3500,5000,9125,4007.87033029857,"$",114,4.7,500,"91b915d8-3003-4167-b466-61203d6b44b0","cp"
"2662","美式美食","taipei",12608.6956521739,23,5000,14000,16000,7305.38294942895,"$",110,4.6,276,"b10acd96-d403-494a-8708-f977f1fba06b","bad"
"2663","美式美食","taipei",14342.8571428571,35,9000,12000,17500,7045.53701549674,"$",106,4.7,271,"73d9f698-8efd-4206-a58f-e147d66b2190","high"
"2664","美式美食","taipei",14806.4516129032,31,8000,12000,21000,7737.29699755049,"$",100,4.8,157,"e32cf28c-e66f-4b7f-99dc-4483827a1856","high"
"2665","美式美食","taipei",6511.11111111111,18,3900,3900,9900,3075.69123014809,"$",105,4.7,139,"0db23da9-dbfe-49ca-a7b9-052c5485d049","cp"
"2666","美式美食","taipei",15800,30,6250,16500,22000,9016.28156910227,"$",106,4.7,126,"6468c34d-a504-4b15-a47c-fc9841c6ddda","high"
"2667","美式美食","taipei",9782.75862068966,58,4000,5000,6975,14855.9536182385,"$",106,4.5,11,"d4343101-e9f1-47fe-8972-70c198c4695f","low"
"2668","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",106,4.8,500,"5e5cca42-c74c-4f3d-ae32-1b776b941a0f","cp"
"2669","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",110,4.8,500,"e4e3f257-561d-45c5-b1e5-f956d55e096b","cp"
"2670","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",105,4.8,500,"7cd70b3c-4775-4d6c-b1f5-265de3549c41","cp"
"2671","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",110,4.8,500,"6896e13c-1d6d-4ce0-9ef1-a876177d6572","cp"
"2672","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",106,4.8,500,"a9cf1352-f118-4d5c-9f9d-17487a933dfd","cp"
"2673","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",105,4.8,500,"7d8e6edf-e09d-4e29-91bc-0554ff27518d","cp"
"2674","Breakfast and Brunch","taipei",27354.4303797468,79,18000,28000,35000,10927.8855641602,"$$",110,4.7,267,"66fa6466-09f5-401b-b296-26c5e5b4a18d","high"
"2675","美式美食","taipei",24530.612244898,49,20000,26000,30000,11360.6949356575,"$",116,4.6,173,"1210c11b-27c1-4292-a740-ce61d7f6d64c","bad"
"2677","美式美食","taipei",9388.40579710145,69,3300,7500,10800,8653.0138208115,"$",105,4.8,500,"da4738cd-6951-4b61-a172-a02ddac19c59","cp"
"2678","美式美食","taipei",7025.71428571429,70,4000,6000,8000,3336.10918433374,"$",110,4.6,500,"2c810098-9110-408d-8df4-02ae8761bdd5","low"
"2679","Breakfast and Brunch","taipei",4595.41984732824,131,4000,5000,5500,1082.67851306818,"$",110,4.7,500,"1c3848f8-1dc3-415a-b310-195ac9ebec09","cp"
"2680","台灣美食","taipei",4878.78787878788,33,4000,5000,5500,1775.38004053722,"$",104,4.7,500,"7391a254-8873-45c9-8794-b5510abf7a55","cp"
"2681","Breakfast and Brunch","taipei",10412.7906976744,86,8000,10500,14250,4087.83778951683,"$",110,4.7,500,"cbb434e6-2526-4010-86fc-c911a26501c9","cp"
"2682","美式美食","taipei",20090.9090909091,22,14250,20000,28500,9820.70674604102,"$",106,4.7,180,"37dfb03d-3c66-4e3b-bc8c-53a1aa2e18e9","high"
"2683","Breakfast and Brunch","taipei",9393.44262295082,61,4500,9500,14000,5040.0972164856,"$",110,4.7,149,"54b5617a-509c-41af-b70e-251ffb5e7a43","cp"
"2684","港式美食","taipei",15909.0909090909,11,13300,18000,18000,3876.6092366337,"$",110,4.7,200,"b0cb4526-eede-4dbc-ab4f-2d9b6ca55490","high"
"2685","Breakfast and Brunch","taipei",10412.7906976744,86,8000,10500,14250,4087.83778951683,"$",104,4.8,220,"13c98926-48dc-4e9c-8384-916b91e3047b","cp"
"2686","美式美食","taipei",16366.6666666667,9,16000,16900,17900,2242.51842554055,"$",104,4.8,60,"706f5487-8a08-4375-b0ed-87a50980b36f","high"
"2687","美式美食","taipei",15440,80,6875,16000,22625,9306.64547514302,"$",104,4.6,67,"4d664962-b358-4049-b6a6-6400e874ccdf","bad"
"2688","Breakfast and Brunch","taipei",11111.1111111111,54,6000,7000,16000,7295.14467316921,"$",105,4.7,79,"89ddea01-cddc-4bed-a638-6502155f7273","cp"
"2689","美式美食","taipei",7250,10,6250,7500,8250,1209.33866224478,"$",105,4.3,29,"68a66f7b-0a16-4db9-b58b-2a8275173fae","low"
"2691","Breakfast and Brunch","taipei",4166.66666666667,66,3000,4000,5000,1631.44603392701,"$",105,4.8,500,"34c7b2c5-f1aa-4a59-ab7e-32fd100f09fa","cp"
"2692","台灣美食","taipei",5479.16666666667,72,5000,5000,6000,1673.81280481288,"$",110,4.8,500,"7a83be1b-d4d7-4106-ba60-836da3f6dd6b","cp"
"2693","Breakfast and Brunch","taipei",4833.33333333333,60,4000,4500,6500,1537.49435409984,"$",106,4.8,350,"42c124a5-0be3-4a2b-a280-26609dc139cf","cp"
"2694","Breakfast and Brunch","taipei",6250,58,4000,5000,7500,3177.57498080229,"$",100,4.7,500,"704c8ae1-f2b8-4206-8b38-baf4038528d2","cp"
"2695","美式美食","taipei",9681.81818181818,22,6000,7000,15375,5401.06356223529,"$",104,4.7,408,"62897bd8-961d-4e05-9d02-98150afbc34e","cp"
"2696","Breakfast and Brunch","taipei",4360.68376068376,117,3000,4000,5000,1838.15018800638,"$",105,4.7,452,"23f1e443-d5c4-471d-8f5d-c56fc803a8c0","cp"
"2697","Breakfast and Brunch","taipei",10908.3333333333,12,6375,6750,12375,9294.30455828849,"$",106,4.6,500,"22f35b11-cad3-42bb-8273-c8baaabaead6","low"
"2698","Breakfast and Brunch","taipei",4471.42857142857,84,3500,4400,6000,1522.49571338605,"$",105,4.6,465,"96b978da-60bb-423a-8ab2-2f88fc4970e7","low"
"2699","Coffee and Tea","taipei",5944.44444444444,99,4500,5500,7000,1606.31469942233,"$",105,4.8,359,"153bac15-aada-4718-b53f-3682b811131a","cp"
"2700","Breakfast and Brunch","taipei",14843.75,32,9375,15750,21125,6423.14844429895,"$",104,4.7,384,"a8b09737-5ccf-49cd-9aa4-3b1fe21067fc","high"
"2701","Breakfast and Brunch","taipei",8463.63636363636,55,5500,7000,9000,4751.89392429677,"$",105,4.7,190,"60d6be4f-44fc-4370-af1e-fb5deb0077da","cp"
"2702","Breakfast and Brunch","taipei",5764.36781609195,87,4000,6000,7500,2450.4738932486,"$",110,4.7,145,"3a6b1e58-5903-463f-b5c0-dc1ab040c637","cp"
"2703","Breakfast and Brunch","taipei",25750,30,21750,27000,31875,9960.54717372495,"$$",106,4.8,266,"54914f23-ab48-43be-b7e7-3fd46b4c89e2","high"
"2704","Breakfast and Brunch","taipei",25750,30,21750,27000,31875,9960.54717372495,"$$",110,4.7,113,"431c8597-8472-4dd3-9402-de3b9773d8a7","high"
"2706","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,161,"ce4c1321-6e99-4750-a1f7-b4528435eabb","cp"
"2707","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,118,"9bb2ab5e-9cae-4daf-a3c0-aeaffe9bd0f7","cp"
"2708","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,96,"f8be1527-601a-470e-adba-e5aa2f281081","cp"
"2709","Breakfast and Brunch","taipei",8943.75,80,5375,7000,11500,4539.40645211464,"$",105,4.7,232,"30614228-5288-41d6-98c4-2f66502df378","cp"
"2710","Breakfast and Brunch","taipei",7064.24581005587,179,4500,6000,8500,3164.05366648258,"$",105,4.8,106,"4bf0ea92-b168-4255-bbfd-7a5986ede333","cp"
"2711","台灣美食","taipei",7528.22580645161,124,4500,7250,9000,3634.12501080697,"$",104,4.8,443,"fa581297-07b4-40a7-ac9c-1e81c875a413","cp"
"2712","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.8,163,"4eaa09be-5c22-45e1-a0de-102bfe32b9f6","cp"
"2713","Breakfast and Brunch","taipei",6705.35714285714,112,4500,5500,8000,3115.02233670375,"$",106,4.7,256,"0956ea21-57d6-4540-a73d-48d42b4de4ea","cp"
"2714","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.8,132,"74ae6646-40d8-4e7f-941d-bee70350abaa","cp"
"2715","台灣美食","taipei",8060.81081081081,74,5625,8000,11000,3453.31088947152,"$",105,4.8,473,"59cf9335-184e-4aa4-9053-5602216b915f","cp"
"2716","Breakfast and Brunch","taipei",7592.1568627451,102,4500,6500,8500,3815.20914736521,"$",110,4.7,500,"cf6b8171-9215-459d-bffb-2e131968ab19","cp"
"2717","Breakfast and Brunch","taipei",6705.35714285714,112,4500,5500,8000,3115.02233670375,"$",110,4.7,179,"e3798329-469e-4289-82f2-3e6011aa80f6","cp"
"2718","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.8,211,"8d117686-76af-4d6a-ac81-f1fdb1feecf2","cp"
"2719","Breakfast and Brunch","taipei",9291.66666666667,84,5000,7500,13125,5124.17724716051,"$",105,4.7,238,"963b914a-4a6c-49b6-aaeb-e69b82c582c8","cp"
"2720","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.8,261,"7a15c0a2-76b4-4698-9cca-b317f9e73cc3","cp"
"2721","Breakfast and Brunch","taipei",8340.83333333333,120,4875,7000,13000,4246.04709962363,"$",104,4.7,500,"ca268f6b-0ffb-4b08-b149-d62f99d89162","cp"
"2722","Breakfast and Brunch","taipei",5858.58585858586,99,4000,5000,6500,2818.62528642148,"$",114,4.7,500,"812db94c-4a3a-48b1-a500-097f748cbf94","cp"
"2723","美式美食","taipei",18768.1818181818,44,10750,15000,25250,14157.0215910896,"$$$",100,4.8,299,"e0a4f1d1-8fb5-4f98-8347-887a8f57f69d","high"
"2724","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",104,4.6,64,"893214b3-2ee7-4fef-a1d3-921cd9dc3cb1","low"
"2725","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.6,57,"8ee1ec22-6151-4438-9b43-2a7ef27617e0","low"
"2726","Breakfast and Brunch","taipei",8379.33884297521,121,5000,7000,13000,4249.45144452791,"$",100,4.7,403,"a5ed2f86-c2f6-490e-a6bf-b6cc08381704","cp"
"2727","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.7,39,"ed9cc8b2-ea4d-49e6-acdb-e07b8a1b4a7b","cp"
"2728","咖啡館","taipei",26660.3773584906,53,14000,26000,35000,15364.6781842854,"$$$",106,4.7,31,"8f66d631-1786-42e8-978a-7f877348c1f3","high"
