,category,city,food_mean,food_num,food_q1,food_q2,food_q3,food_var,money,post,rate,rate_num,uuid
21,Breakfast and Brunch,taichung,9102.857142857143,35,4250.0,8900.0,13450.0,6246.346850727377,$,407,4.4,347,e7409c5e-4380-4237-be5a-09ff241086bd
22,Breakfast and Brunch,taichung,6510.309278350515,97,4000.0,5500.0,7000.0,3638.9781202992967,$,407,4.7,498,7d06c2a1-d52f-4df2-89c5-7cf3f29b7e72
23,Breakfast and Brunch,taichung,5738.805970149254,67,3500.0,4500.0,7000.0,3415.6774299743233,$,408,4.7,167,029054ec-3803-4842-bcc9-dd51207416ed
24,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.8,102,b339e57b-6d58-41c3-89c7-cd06fb31b9ff
25,Breakfast and Brunch,taichung,8379.338842975207,121,5000.0,7000.0,13000.0,4249.4514445279065,$,408,4.7,108,f2597092-bc4b-48f8-8ef2-b62951e9ca46
26,Breakfast and Brunch,taichung,4602.272727272727,88,3000.0,4000.0,5500.0,2307.5457876244777,$,403,4.5,110,1cb6f43e-1b35-4885-9097-62c2a624b657
27,Breakfast and Brunch,taichung,16795.0,40,10000.0,13000.0,25250.0,9124.717803855634,$$,403,4.8,65,da75ca1a-a8a2-42f6-8036-b0392e5067b6
28,Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,403,4.7,109,0711dc6a-0c9a-4c92-a86a-30464baaf51b
29,Breakfast and Brunch,taichung,7283.333333333333,60,4000.0,6500.0,8625.0,3881.974011018392,$,403,4.8,116,650d57ca-edb7-4809-b493-b795d72e2f63
30,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,408,4.5,92,b7a15072-304c-4576-abb4-f0e9b35b4921
31,Breakfast and Brunch,taichung,4846.153846153846,26,4000.0,4500.0,6000.0,1207.1042174211705,$,407,4.8,131,d62c1e03-a744-41d7-bf41-de1c4d56b816
32,Breakfast and Brunch,taichung,9777.083333333334,48,8500.0,9500.0,9500.0,3553.416172228571,$,403,4.6,46,54400995-18f1-496f-bcda-8c9ed4225eec
33,Breakfast and Brunch,taichung,18211.53846153846,26,9500.0,14500.0,29000.0,9413.75127235426,$$,403,4.9,56,3fd1a83c-ae5a-4590-ade4-01afd7d35f48
34,Breakfast and Brunch,taichung,16023.809523809523,21,10500.0,12000.0,18000.0,6580.0495556032865,$,407,4.8,81,45f9e48a-c22f-41e4-9ec8-b78c969beae2
35,Breakfast and Brunch,taichung,9430.0,30,7500.0,8750.0,10750.0,2390.697248363609,$,403,4.6,65,8f0c5aa8-53ec-40b2-a202-c0a55556fed4
36,Breakfast and Brunch,taichung,16280.0,25,13000.0,14000.0,15000.0,6526.990117964022,$,403,4.5,30,0ad44292-22b4-46e0-b048-bdff2c032342
37,Breakfast and Brunch,taichung,10555.29411764706,85,8000.0,10000.0,13000.0,4113.121210220457,$,407,4.8,47,bec8854d-b423-498a-a0a3-e334dd9d5f24
38,Breakfast and Brunch,taichung,11516.666666666666,54,9900.0,10700.0,13650.0,5242.799294694051,$,403,4.7,48,997da3d4-75c4-47b4-addf-67a48b946572
39,Breakfast and Brunch,taichung,7136.363636363636,11,5000.0,6000.0,10500.0,3529.685210603123,$,407,4.7,10,12a61a78-9ce0-4f74-8f90-97d7b8691e4e
40,Breakfast and Brunch,taichung,15185.714285714286,42,12000.0,13000.0,16950.0,6305.31036313917,$$,403,4.6,11,1f5a4aae-8ea2-4df8-b64c-418503215ada
41,台灣美食,taichung,15476.0,50,13250.0,15000.0,16000.0,4497.5353250419275,$,408,4.6,21,b4877900-9c50-4cac-9d05-a2f6bc602984
42,台灣美食,taichung,5142.857142857143,49,3500.0,5000.0,6000.0,2055.3563671340225,$,407,4.8,500,d45204d3-dea2-4907-945d-58061f1dd5d0
43,台灣美食,taichung,6153.086419753086,81,4000.0,5000.0,7000.0,2991.679260047902,$,407,4.7,500,cf603325-4b19-4aae-a562-0e581119ff94
44,Breakfast and Brunch,taichung,5798.449612403101,129,3500.0,4500.0,6500.0,3276.9570044023158,$,408,4.9,209,5a4a85b4-7c02-4ea9-adba-9eb37f794694
45,台灣美食,taichung,4461.864406779661,118,3500.0,4500.0,5375.0,1609.2381338524722,$,407,4.6,265,adf072e3-a724-42b4-82a2-a13c3e6b4968
46,台灣美食,taichung,6572.972972972973,74,3500.0,4700.0,6500.0,4869.466292340723,$,407,4.6,50,539ab8ac-a056-4b81-945d-07d44ac1283b
47,中式料理,taichung,14403.921568627451,51,12000.0,12500.0,16000.0,5012.023222029427,$,404,4.6,114,10765cbd-cd04-479b-b5e7-e88eff5842ea
48,義大利美食,taichung,13457.142857142857,35,8500.0,13000.0,17000.0,5452.877914553049,$,403,4.8,81,48ef77c4-acb4-4c4e-b3bd-9430daad0ba7
49,Desserts,taichung,20000.0,6,11625.0,20750.0,28375.0,8636.164272021077,$,408,4.9,40,3a8cc689-f117-45a5-bded-b0a106f0ae17
50,美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,408,4.8,500,d2d4cc62-33fd-40fa-9ad5-dd3c4f6c01bf
51,Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.8377895168296,$,407,4.7,166,26356125-0ada-4bdf-ab48-91943fc5982d
52,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,403,4.6,219,2d3cdc67-16d1-44c9-877a-5e3c1cd61676
53,美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,407,4.8,500,e3aa9bd5-8552-4085-a6b6-e6e712c75aeb
54,美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,403,4.8,500,022684b0-a17b-4b6b-893e-354d41f7c321
55,美式美食,taichung,9388.40579710145,69,3300.0,7500.0,10800.0,8653.013820811499,$,407,4.8,500,ccc199c7-abba-4c3b-8a57-14725de30e8b
56,Breakfast and Brunch,taichung,5005.61797752809,89,3500.0,4500.0,6500.0,2096.6725672023354,$,407,4.8,500,7fa59fc4-f0b5-42bd-b76c-5646ed5bbad6
57,Breakfast and Brunch,taichung,5798.449612403101,129,3500.0,4500.0,6500.0,3276.9570044023158,$,408,4.9,209,5a4a85b4-7c02-4ea9-adba-9eb37f794694
58,台灣美食,taichung,4461.864406779661,118,3500.0,4500.0,5375.0,1609.2381338524722,$,407,4.6,265,adf072e3-a724-42b4-82a2-a13c3e6b4968
59,美式美食,taichung,19100.0,100,9875.0,18000.0,28125.0,9269.304181005175,$$,403,4.6,271,50c09109-74bc-4560-8f3a-b722f09107e5
60,Breakfast and Brunch,taichung,5295.918367346939,98,4000.0,4500.0,6875.0,1765.365104594453,$,403,4.7,239,080f65e3-772a-4875-8b95-4a9b5600f0c6
61,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,407,4.5,216,1b6b9f3e-3c37-4dd9-9066-4d40c2633be9
62,Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.837789516829,$,403,4.7,109,0711dc6a-0c9a-4c92-a86a-30464baaf51b
63,美式美食,taichung,37095.16129032258,62,18000.0,32500.0,53500.0,25370.43254567471,$$,407,4.7,152,7f3e0c28-79d8-4a29-a55e-b4bd225c7720
64,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,408,4.5,92,b7a15072-304c-4576-abb4-f0e9b35b4921
65,美式美食,taichung,18500.0,11,10000.0,13000.0,23900.0,11759.328985185259,$,404,4.9,47,87cbec6a-9544-4997-b43e-a55eaa45752e
66,Breakfast and Brunch,taichung,5451.923076923077,104,3500.0,4500.0,6500.0,2841.586121586064,$,407,4.6,136,59d35bb0-a388-4e38-9c41-e7f3a0532080
67,Breakfast and Brunch,taichung,4210.31746031746,126,3500.0,4000.0,5000.0,988.7325031124496,$,404,4.7,500,38c21f74-4db3-4b7f-93ca-1fdf48e9be80
68,Breakfast and Brunch,taichung,5738.805970149254,67,3500.0,4500.0,7000.0,3415.6774299743233,$,408,4.7,167,029054ec-3803-4842-bcc9-dd51207416ed
69,日式料理,taichung,23833.333333333332,12,22000.0,23500.0,26000.0,2192.157739660984,$$,403,4.7,216,3a648179-32c6-4d89-bb8c-0efac63cf5b7
70,Breakfast and Brunch,taichung,7283.333333333333,60,4000.0,6500.0,8625.0,3881.974011018392,$,403,4.8,116,650d57ca-edb7-4809-b493-b795d72e2f63
71,Breakfast and Brunch,taichung,9430.0,30,7500.0,8750.0,10750.0,2390.697248363609,$,403,4.6,65,8f0c5aa8-53ec-40b2-a202-c0a55556fed4
72,Breakfast and Brunch,taichung,11516.666666666666,54,9900.0,10700.0,13650.0,5242.799294694051,$,403,4.7,48,997da3d4-75c4-47b4-addf-67a48b946572
73,Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,407,4.8,291,13be5f91-f62e-49ed-93b9-f0989cb1f5c9
74,Breakfast and Brunch,taichung,5394.2307692307695,52,4000.0,5000.0,6500.0,1971.7635079696922,$,403,4.8,500,e97639f3-92af-4afa-b1f8-f72619f67666
75,Breakfast and Brunch,taichung,7345.0,100,4000.0,6500.0,8500.0,4341.483041542371,$,408,4.7,500,86efb69d-9ff7-4291-bda1-052c2ebb983f
76,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.7,161,df344920-a74d-49d8-a53b-aa14dd2a41a1
77,Breakfast and Brunch,taichung,6890.476190476191,63,5000.0,7000.0,8000.0,3309.7601834053366,$,407,4.7,227,166c9817-01f4-42bb-9bd4-fce0fcb0e578
78,Breakfast and Brunch,taichung,6510.309278350515,97,4000.0,5500.0,7000.0,3638.9781202992967,$,407,4.7,498,7d06c2a1-d52f-4df2-89c5-7cf3f29b7e72
79,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.8,102,b339e57b-6d58-41c3-89c7-cd06fb31b9ff
80,Breakfast and Brunch,taichung,8379.338842975207,121,5000.0,7000.0,13000.0,4249.4514445279065,$,408,4.7,108,f2597092-bc4b-48f8-8ef2-b62951e9ca46
81,港式美食,taichung,6587.777777777777,90,5000.0,6500.0,7800.0,2354.0427532121453,$,407,4.5,500,b4996614-f6d5-4fd7-b0e7-e7f2eb95b6a7
82,Coffee and Tea,taichung,5282.051282051282,39,4500.0,5000.0,5250.0,1731.291469168697,$,408,4.9,40,c1a7edc9-6ce1-494c-8365-dfa9829bbf92
83,Coffee and Tea,taichung,10557.692307692309,26,9625.0,10500.0,10500.0,3138.8597975064713,$,408,4.4,16,6e1045f7-771e-4752-b348-5232c71bf4c8
84,港式美食,taichung,6725.555555555556,90,5275.0,6500.0,7800.0,2493.884124150791,$,403,4.6,500,65ad74a6-6f43-4162-9dd6-0f0fa2ac2c32
85,Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,407,4.8,291,13be5f91-f62e-49ed-93b9-f0989cb1f5c9
86,中式料理,taichung,8361.111111111111,54,3000.0,5250.0,13500.0,5256.756381488588,$,408,4.8,375,86cec031-531f-4558-b759-8a527c095b08
87,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.7,161,df344920-a74d-49d8-a53b-aa14dd2a41a1
88,台灣美食,taichung,6572.972972972973,74,3500.0,4700.0,6500.0,4869.466292340723,$,407,4.6,50,539ab8ac-a056-4b81-945d-07d44ac1283b
89,Breakfast and Brunch,taichung,6510.309278350515,97,4000.0,5500.0,7000.0,3638.9781202992967,$,407,4.7,498,7d06c2a1-d52f-4df2-89c5-7cf3f29b7e72
90,台灣美食,taichung,4277.777777777777,36,3500.0,4000.0,5000.0,982.0927516479827,$,403,4.8,141,4c5fb19e-315d-4a94-8575-3ea11ce7fae8
91,咖啡館,taichung,13987.878787878788,33,13000.0,14000.0,15000.0,2852.7241181717045,$,403,4.8,159,500faa4d-3979-48ea-93af-7d234ea476a7
92,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.8,102,b339e57b-6d58-41c3-89c7-cd06fb31b9ff
93,Breakfast and Brunch,taichung,8379.338842975207,121,5000.0,7000.0,13000.0,4249.4514445279065,$,408,4.7,108,f2597092-bc4b-48f8-8ef2-b62951e9ca46
94,Breakfast and Brunch,taichung,4602.272727272727,88,3000.0,4000.0,5500.0,2307.5457876244777,$,403,4.5,110,1cb6f43e-1b35-4885-9097-62c2a624b657
95,咖啡館,taichung,6417.64705882353,51,5500.0,6500.0,7500.0,2139.974883703897,$,408,4.8,73,4d4463cf-9387-450f-b444-d077848a78b7
96,Breakfast and Brunch,taichung,4846.153846153846,26,4000.0,4500.0,6000.0,1207.1042174211705,$,407,4.8,131,d62c1e03-a744-41d7-bf41-de1c4d56b816
97,Breakfast and Brunch,taichung,9777.083333333334,48,8500.0,9500.0,9500.0,3553.416172228571,$,403,4.6,46,54400995-18f1-496f-bcda-8c9ed4225eec
98,咖啡館,taichung,13300.0,37,13000.0,14000.0,15000.0,3875.3552583445016,$,403,5.0,93,54e9ef31-e015-4b32-83d0-81f6db8ab1a9
99,Breakfast and Brunch,taichung,10555.29411764706,85,8000.0,10000.0,13000.0,4113.121210220457,$,407,4.8,47,bec8854d-b423-498a-a0a3-e334dd9d5f24
100,咖啡館,taichung,13133.333333333334,15,12000.0,13000.0,14500.0,2499.7777679003566,$,404,4.7,26,6af98454-30a6-48d8-95de-99a072622d9f
101,義大利美食,taichung,11946.42857142857,56,10000.0,10000.0,12000.0,3710.1195728571824,$,404,3.8,23,e7554adb-226f-4ef9-8b3c-408beeda4afd
102,Desserts,taichung,5576.086956521739,46,4125.0,5000.0,6500.0,2415.9060576510597,$,407,4.9,42,e135c813-1b8d-4acb-812d-3e8c83bef584
103,Desserts,taichung,5760.606060606061,33,5000.0,6000.0,7000.0,1369.7908254247486,$,408,4.8,181,7b0858d5-49b6-4293-bfc1-f48d860fb022
104,Desserts,taichung,5547.619047619048,21,5000.0,5500.0,6000.0,785.3534524986021,$,407,4.8,110,99b1d6da-8bbb-4ff4-929f-006095741f39
105,Desserts,taichung,5782.35294117647,34,5125.0,6000.0,6875.0,1355.266543837149,$,403,4.8,451,954fa84b-b749-4efe-af30-463c7667dc55
106,Desserts,taichung,6957.142857142857,35,5900.0,6900.0,7900.0,1755.690456655682,$,404,4.7,500,97e5eddc-b859-44dc-ad04-ebb5d2865578
107,Desserts,taichung,4630.434782608696,23,4500.0,4500.0,5000.0,264.4679360999226,$,407,4.7,113,106dcf24-0c1c-4889-a2ff-26c7ca3a81b6
108,Desserts,taichung,6084.615384615385,13,6000.0,6000.0,6500.0,555.8723620042974,$,404,4.8,114,af889b16-e9f1-405e-ae3a-c26e2fc0f6db
109,Desserts,taichung,6006.25,16,5000.0,6000.0,7250.0,2051.0572730911244,$,403,4.9,100,5f99ae14-73bc-479b-9a25-56f1069aa18f
110,Desserts,taichung,6386.363636363636,44,5000.0,5500.0,7000.0,2104.820323695427,$,404,4.8,430,8ad30350-870e-4ad2-85a5-3ef0590f96c1
111,Desserts,taichung,15222.222222222223,18,10000.0,13500.0,14000.0,8521.577550584003,$,403,4.8,69,fa09accf-4e41-461e-9618-19a43f944687
112,Desserts,taichung,4772.727272727273,11,4750.0,5000.0,5000.0,686.3485850246136,$,407,4.7,36,49436ac7-6f6f-4b6d-a65b-a117dbfc2db7
113,Desserts,taichung,6606.896551724138,29,6000.0,6500.0,7500.0,1878.908530280419,$,408,4.6,414,9ac013ef-a4da-487a-bb09-6390885b636e
114,Desserts,taichung,5213.725490196079,51,4500.0,5000.0,5000.0,1719.4412690131476,$,408,4.9,219,93727e29-27eb-4257-83fe-b9f3a8b88aed
115,Desserts,taichung,7444.444444444444,9,5500.0,7000.0,9500.0,1906.7780335256125,$,404,4.6,55,faa2c274-e936-4b2d-8190-0e42b5ae4bcd
116,Desserts,taichung,20000.0,6,11625.0,20750.0,28375.0,8636.164272021077,$,408,4.9,40,3a8cc689-f117-45a5-bded-b0a106f0ae17
117,Juice and Smoothies,taichung,6218.75,48,5000.0,6250.0,7000.0,1176.6223286027962,$,403,4.9,234,c85977d7-d518-461e-b64e-e804308576be
118,泰國美食,taichung,16357.142857142857,56,12000.0,15000.0,20000.0,8607.365142357883,$,802,4.5,223,a1f00879-d281-43d4-996f-7ea2b12c144c
119,日式料理,taichung,14555.555555555555,135,6000.0,10000.0,15000.0,15263.447824989373,$,408,4.7,92,5648cdf0-7a9d-48bf-a98d-f03f9b3c8ef9
120,咖啡館,taichung,13133.333333333334,15,12000.0,13000.0,14500.0,2499.7777679003566,$,404,4.7,26,6af98454-30a6-48d8-95de-99a072622d9f
121,Breakfast and Brunch,taichung,9777.083333333334,48,8500.0,9500.0,9500.0,3553.416172228571,$,403,4.6,46,54400995-18f1-496f-bcda-8c9ed4225eec
122,Juice and Smoothies,taichung,5641.79104477612,67,5000.0,5500.0,6500.0,1564.069439017673,$,407,4.9,159,8d04ca1c-ef33-4c2f-bf4e-9435268639f7
123,Juice and Smoothies,taichung,5511.627906976744,43,4750.0,5500.0,6250.0,1163.836738795454,$,407,4.6,25,173ee3a1-d07b-419c-926e-4d9bb83db820
124,Juice and Smoothies,taichung,14562.5,40,13500.0,14000.0,15500.0,2197.121696674993,$,407,4.9,43,670523d7-1f8f-4554-884c-deb589485128
125,Juice and Smoothies,taichung,4890.476190476191,21,3800.0,5000.0,5500.0,1105.3569825883926,$,407,4.5,94,fffb8cf8-373d-4de4-9475-c90aa45f45c5
126,珍珠奶茶,taichung,5137.931034482759,29,4500.0,5000.0,6000.0,936.763979807319,$,407,4.8,500,a5395e97-1b02-425b-9dbe-7f43f7ee938e
127,珍珠奶茶,taichung,4827.777777777777,54,4000.0,4950.0,5500.0,1200.6813909064867,$,403,4.8,500,963713c3-96eb-41f6-8812-68c9b02452e8
128,珍珠奶茶,taichung,5098.245614035088,57,4500.0,5000.0,6000.0,1482.1145666906295,$,408,4.8,500,b581966d-9ce5-4182-86cc-0fcd2ae9b0ba
129,Juice and Smoothies,taichung,5458.333333333333,24,5375.0,6000.0,6125.0,1707.3167707123232,$,403,4.7,373,bb0bc111-0703-42a6-b3bb-b8b5a01857d4
130,Juice and Smoothies,taichung,6553.061224489796,49,5000.0,6500.0,8000.0,1831.2594128271091,$,403,4.8,411,6e0b8462-586f-4224-a6b0-b5078eab78a1
131,Juice and Smoothies,taichung,6218.75,48,5000.0,6250.0,7000.0,1176.6223286027962,$,403,4.9,234,c85977d7-d518-461e-b64e-e804308576be
132,Juice and Smoothies,taichung,8135.593220338983,59,7000.0,8000.0,10000.0,2024.9095156067378,$,404,4.7,89,78dbfbbc-b5dd-43d7-b633-aace3d46f209
133,Juice and Smoothies,taichung,8966.666666666666,42,8500.0,9500.0,10000.0,2168.0215543941117,$,403,4.7,48,c95ccf1a-3d96-4370-9d96-4b9f1486167d
134,Vegetarian Friendly,taichung,10075.0,40,6000.0,11000.0,14000.0,4323.699226356986,$,403,4.8,500,00b3174d-2d2c-45b3-afa0-f793cd2f65bf
135,Vegetarian Friendly,taichung,7238.0952380952385,42,5000.0,8000.0,10000.0,3022.215552880463,$,404,4.6,466,db4aebc1-da1a-46e7-9fd0-44bf2fa94c2e
136,Vegetarian Friendly,taichung,9842.105263157895,38,6000.0,11000.0,13750.0,4199.162296091885,$,404,4.8,455,204bd311-1224-4048-b94d-27e4b28e9af1
137,Vegetarian Friendly,taichung,17162.62626262626,99,10000.0,15000.0,24000.0,7474.530299875351,$,408,4.7,115,3524bf6e-f800-4501-8e35-abd75c94e6f6
138,台灣美食,taichung,17131.35593220339,118,9125.0,15500.0,17000.0,11020.2871409924,$,403,4.7,141,22800e40-49f4-4295-a7d9-b4c31be5ec55
139,中式料理,taichung,38152.17391304348,69,22000.0,29000.0,40000.0,35529.05570968539,$$,403,4.8,66,c744ded2-5609-4e58-a5c6-5195d88e0a25
140,中式料理,taichung,18541.666666666668,24,12000.0,15000.0,22250.0,11958.188152428815,$,404,4.2,17,a8e179fe-0ef7-47eb-bb48-658450b09a37
141,中式料理,taichung,10961.538461538461,52,7000.0,12000.0,15000.0,4937.928320123183,$,403,4.7,500,2889443b-80ba-4de1-b5f0-38b14e26da77
142,中式料理,taichung,5702.127659574468,47,4000.0,5000.0,7500.0,1809.1363122962819,$,407,4.7,500,2d2bb6c7-87fe-4cde-95ae-b6c9e87288e3
143,中式料理,taichung,4964.285714285715,14,2000.0,7000.0,7000.0,2708.876188400207,$,403,4.5,152,7284a988-6938-4e89-89e1-a69c0c84dcd2
144,中式料理,taichung,17425.0,40,16550.0,16800.0,17300.0,6920.576204334434,$,403,4.8,239,f01cf42c-7a5f-4b92-a87e-9fcaaae473bf
145,中式料理,taichung,12866.666666666666,15,9000.0,13000.0,16500.0,5264.556539306569,$,403,4.6,323,da847099-bb82-4077-abea-609f5f69a6b9
146,中式料理,taichung,25583.216783216783,143,14600.0,25200.0,31900.0,14070.90926537456,$$,408,4.6,66,d1adfc99-a8d1-4dcb-9852-5ad86c57b288
147,中式料理,taichung,19005.263157894737,38,13000.0,19000.0,27600.0,8381.74543336263,$,407,4.8,109,cbbad715-338f-4699-9278-28ebbb2a9899
148,中式料理,taichung,21979.166666666668,24,11500.0,23000.0,28500.0,11967.385511139108,$$,403,4.7,18,3794180d-c286-44f7-b60c-57af38e0fbda
149,中式料理,taichung,10266.666666666666,15,6000.0,10000.0,13500.0,4788.41193809481,$,403,4.8,12,3d8450a2-b590-4f78-86be-73653267d5b6
150,中式料理,taichung,10142.857142857143,7,4800.0,4800.0,8400.0,10447.53657127666,$,404,4.7,500,e33f4e7d-d959-47dc-9321-2a36ecf432ab
151,中式料理,taichung,8361.111111111111,54,3000.0,5250.0,13500.0,5256.756381488588,$,408,4.8,375,86cec031-531f-4558-b759-8a527c095b08
152,中式料理,taichung,14403.921568627451,51,12000.0,12500.0,16000.0,5012.023222029427,$,404,4.6,114,10765cbd-cd04-479b-b5e7-e88eff5842ea
153,台灣美食,taichung,8564.516129032258,31,5500.0,7500.0,12000.0,4205.875183144582,$,403,4.8,500,e0aedabe-e0a6-4e82-ab6a-a9b3ba36d80c
154,台灣美食,taichung,15788.157894736842,76,6000.0,8250.0,15000.0,24818.66852055049,$$,408,4.7,20,f11f3ef6-f912-456b-bbbb-7e048aff38e2
155,台灣美食,taichung,68485.71428571429,7,79900.0,79900.0,79900.0,27959.175778339417,$$,403,4.7,61,e2a22869-c5e3-48a4-8486-25ce2f1e9ebb
156,台灣美食,taichung,9220.0,50,7000.0,9000.0,11500.0,3315.3582008585436,$,407,4.6,500,e5f2a734-224f-44d7-8258-a53d6e79d9df
157,台灣美食,taichung,6333.333333333333,36,4125.0,6500.0,8500.0,2990.726407487726,$,407,4.7,232,9c62d090-7c61-4bbc-b205-a0a41500834e
158,台灣美食,taichung,15400.0,28,4500.0,12750.0,20175.0,15439.536447519586,$,403,4.7,500,cec36b1f-309b-4c6c-b1cd-af81b78f7138
159,日式料理,taichung,10881.25,32,7000.0,9250.0,15625.0,5882.146584156161,$,403,4.8,500,3327ac0a-bacb-42c4-a388-4f8ae11cf115
160,Desserts,taichung,5547.619047619048,21,5000.0,5500.0,6000.0,785.3534524986021,$,407,4.8,110,99b1d6da-8bbb-4ff4-929f-006095741f39
161,台灣美食,taichung,39001.44927536232,69,16000.0,36000.0,45000.0,29715.06958124853,$$,407,4.6,180,81200f17-7680-4048-99c7-a7092b7af153
162,台灣美食,taichung,15476.0,50,13250.0,15000.0,16000.0,4497.5353250419275,$,408,4.6,21,b4877900-9c50-4cac-9d05-a2f6bc602984
163,台灣美食,taichung,5142.857142857143,49,3500.0,5000.0,6000.0,2055.3563671340225,$,407,4.8,500,d45204d3-dea2-4907-945d-58061f1dd5d0
